Exact Gradient XAI Explanation for Anomalous Sequence:
Event 1 (ID 1): Importance = 1.57%
Event 2 (ID 2): Importance = 1.95%
Event 3 (ID 1): Importance = 1.14%
Event 4 (ID 1): Importance = 1.27%
Event 5 (ID 3): Importance = 0.91%
Event 6 (ID 4): Importance = 2.03%
Event 7 (ID 3): Importance = 1.85%
Event 8 (ID 4): Importance = 2.64%
Event 9 (ID 3): Importance = 1.95%
Event 10 (ID 4): Importance = 2.13%
Event 11 (ID 5): Importance = 4.98%
Event 12 (ID 5): Importance = 4.90%
Event 13 (ID 5): Importance = 4.76%
Event 14 (ID 35): Importance = 3.52%
Event 15 (ID 35): Importance = 4.14%
Event 16 (ID 35): Importance = 4.57%
Event 17 (ID 9): Importance = 2.30%
Event 18 (ID 35): Importance = 3.99%
Event 19 (ID 35): Importance = 3.14%
Event 20 (ID 35): Importance = 2.30%
Event 21 (ID 35): Importance = 1.79%
Event 22 (ID 35): Importance = 1.71%
Event 23 (ID 35): Importance = 1.94%
Event 24 (ID 35): Importance = 2.23%
Event 25 (ID 35): Importance = 2.32%
Event 26 (ID 35): Importance = 2.05%
Event 27 (ID 35): Importance = 1.46%
Event 28 (ID 35): Importance = 0.77%
Event 29 (ID 35): Importance = 0.26%
Event 30 (ID 32): Importance = 3.18%
Event 31 (ID 32): Importance = 3.52%
Event 32 (ID 32): Importance = 3.48%
Event 33 (ID 18): Importance = 5.58%
Event 34 (ID 18): Importance = 4.79%
Event 35 (ID 18): Importance = 3.54%
Event 36 (ID 33): Importance = 5.34%
